YEAR,Population,PopulationGrowthRate,PopulationDensity,UrbanPopulation,RuralPopulation,LifeExpectancy,Birth Rate,DeathRate,InfantMortalityRate,FertilityRate,GDP_USD,GDP_GrowthRate,GDP_Per_Capita,HealthcareSpendingPerCapita,UnemploymentRate,YouthUnemploymentRate,MilitarySpending,MilitarySize,ArableLand,HectaresPerCapita
1962,"8,363,578.00",3.85%,14.7,"650,185.00","7,713,393.00",47.77,51.01,19.08,123.5,8.01,$868.11M,9.46%,$103.80,,,,,,"3,500,000.00",0.42
1961,"8,047,470.00",3.75%,14.14,"608,791.00","7,438,679.00",47.1,51.09,19.65,126.06,7.95,$792.96M,-7.77%,$98.54,,,,,,"3,500,000.00",0.43
1960,"7,751,435.00",,,"570,661.00","7,180,774.00",46.44,51.17,20.21,128.63,7.9,$791.27M,,$102.08,,,,,,,
1959,"7,475,752.00",,,,,45.77,51.25,20.78,131.2,7.84,,,,,,,,,,
1958,"7,223,458.00",,,,,45.1,51.33,21.34,133.76,7.79,,,,,,,,,,
1957,"6,987,580.00",,,,,44.59,51.3,21.73,135.5,7.72,,,,,,,,,,
1956,"6,763,941.00",,,,,44.09,51.27,22.12,137.24,7.66,,,,,,,,,,
1955,"6,558,870.00",,,,,43.58,51.24,22.51,138.98,7.6,,,,,,,,,,
1954,"6,371,191.00",,,,,43.08,51.21,22.9,140.72,7.54,,,,,,,,,,
1953,"6,201,950.00",,,,,42.57,51.18,23.29,142.46,7.48,,,,,,,,,,
1952,"6,048,730.00",,,,,42.06,51.15,23.68,144.2,7.42,,,,,,,,,,
1951,"5,905,774.00",,,,,41.56,51.12,24.07,145.94,7.36,,,,,,,,,,
1950,"5,774,050.00",,,,,41.05,51.1,24.46,147.68,7.3,,,,,,,,,,
